address,location,longitude,latitude
"323 ANG MO KIO AVE 3, ANG MO KIO, SINGAPORE","323, Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560323, Singapore",103.84772444835497,1.36790565
"320 ANG MO KIO AVE 1, ANG MO KIO, SINGAPORE","Ang Mo Kio Avenue 1, Kebun Baru, Ang Mo Kio, Singapore, Central, 564246, Singapore",103.8329421,1.3675055
"225 ANG MO KIO AVE 1, ANG MO KIO, SINGAPORE","225, Ang Mo Kio Avenue 1, Ang Mo Kio Grove, Ang Mo Kio, Singapore, Central, 560225, Singapore",103.83815151974436,1.36740825
"331 ANG MO KIO AVE 1, ANG MO KIO, SINGAPORE","331, Ang Mo Kio Avenue 1, Ang Mo Kio, Singapore, Central, 560331, Singapore",103.85075550126663,1.3621267000000001
"534 ANG MO KIO AVE 10, ANG MO KIO, SINGAPORE","534, Ang Mo Kio Avenue 10, Cheng San View, Ang Mo Kio, Singapore, Central, 560534, Singapore",103.85380151282592,1.3741543
"578 ANG MO KIO AVE 10, ANG MO KIO, SINGAPORE","578, Ang Mo Kio Avenue 10, Cheng San Court, Ang Mo Kio, Singapore, Central, 560578, Singapore",103.85496525927232,1.37179045
"452 ANG MO KIO AVE 10, ANG MO KIO, SINGAPORE","452, Ang Mo Kio Avenue 10, Chong Boon Centre, Ang Mo Kio, Singapore, Central, 560442, Singapore",103.856448730342,1.36882995
"560 ANG MO KIO AVE 10, ANG MO KIO, SINGAPORE","560, Ang Mo Kio Avenue 10, Cheng San Place, Ang Mo Kio, Singapore, Central, 560560, Singapore",103.85919120619337,1.3707993
"435 ANG MO KIO AVE 10, ANG MO KIO, SINGAPORE","435, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560435, Singapore",103.85422938005833,1.3676957
"577 ANG MO KIO AVE 10, ANG MO KIO, SINGAPORE","577, Ang Mo Kio Avenue 10, Cheng San Court, Ang Mo Kio, Singapore, Central, 560577, Singapore",103.8558682267857,1.3717937500000001
"456 ANG MO KIO AVE 10, ANG MO KIO, SINGAPORE","456A, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561456, Singapore",103.85812389124425,1.36780715
"556 ANG MO KIO AVE 10, ANG MO KIO, SINGAPORE","556, Ang Mo Kio Avenue 10, Cheng San Place, Ang Mo Kio, Singapore, Central, 560556, Singapore",103.85760484542894,1.3720322999999999
"403 ANG MO KIO AVE 10, ANG MO KIO, SINGAPORE","403, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560403, Singapore",103.85457173862903,1.3613070500000002
"461 ANG MO KIO AVE 10, ANG MO KIO, SINGAPORE","461, Ang Mo Kio Avenue 10, Teck Ghee Horizon, Ang Mo Kio, Singapore, Central, 560461, Singapore",103.8573870315235,1.3674791499999999
"444 ANG MO KIO AVE 10, ANG MO KIO, SINGAPORE","444, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560444, Singapore",103.85560295709745,1.3666067000000002
"445 ANG MO KIO AVE 10, ANG MO KIO, SINGAPORE","445, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560445, Singapore",103.85568138577504,1.3669968
"466 ANG MO KIO AVE 10, ANG MO KIO, SINGAPORE","466, Ang Mo Kio Avenue 10, Teck Ghee Horizon, Ang Mo Kio, Singapore, Central, 560466, Singapore",103.85710076709108,1.36581515
"576 ANG MO KIO AVE 10, ANG MO KIO, SINGAPORE","576, Ang Mo Kio Avenue 10, Cheng San Court, Ang Mo Kio, Singapore, Central, 560576, Singapore",103.85485296400329,1.37140065
"476 ANG MO KIO AVE 10, ANG MO KIO, SINGAPORE","476, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560476, Singapore",103.85788890205664,1.3623983499999999
"441 ANG MO KIO AVE 10, ANG MO KIO, SINGAPORE","441, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560441, Singapore",103.85414159512987,1.3660604
"416 ANG MO KIO AVE 10, ANG MO KIO, SINGAPORE","416, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560418, Singapore",103.85509283038915,1.36457225
"202 ANG MO KIO AVE 3, ANG MO KIO, SINGAPORE","202, Ang Mo Kio Avenue 3, Ang Mo Kio View, Ang Mo Kio, Singapore, Central, 560202, Singapore",103.84451547771923,1.36846115
"422 ANG MO KIO AVE 3, ANG MO KIO, SINGAPORE","Phoon Huat, 422, Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560422, Singapore",103.8514987,1.3679146
"120 ANG MO KIO AVE 3, ANG MO KIO, SINGAPORE","120, Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560120, Singapore",103.84460024349187,1.37006085
"133 ANG MO KIO AVE 3, ANG MO KIO, SINGAPORE","133, Ang Mo Kio Avenue 3, Kebun Baru, Ang Mo Kio, Singapore, Central, 560133, Singapore",103.84263634923681,1.3711479
"233 ANG MO KIO AVE 3, ANG MO KIO, SINGAPORE","233, Ang Mo Kio Avenue 3, Kebun Baru, Ang Mo Kio, Singapore, Central, 560233, Singapore",103.8367603434981,1.3675724
"126 ANG MO KIO AVE 3, ANG MO KIO, SINGAPORE","126, Ang Mo Kio Avenue 3, Kebun Baru, Ang Mo Kio, Singapore, Central, 560126, Singapore",103.84365627465803,1.3716605
"129 ANG MO KIO AVE 3, ANG MO KIO, SINGAPORE","129, Ang Mo Kio Avenue 3, Kebun Baru, Ang Mo Kio, Singapore, Central, 560129, Singapore",103.84248556135907,1.3700860499999998
"117 ANG MO KIO AVE 4, ANG MO KIO, SINGAPORE","117, Ang Mo Kio Avenue 4, Kebun Baru, Ang Mo Kio, Singapore, Central, 569897, Singapore",103.83552337995374,1.3737864499999999
"178 ANG MO KIO AVE 4, ANG MO KIO, SINGAPORE","178, Ang Mo Kio Avenue 4, Kebun Baru, Ang Mo Kio, Singapore, Central, 569898, Singapore",103.83682141001981,1.3763809
"172 ANG MO KIO AVE 4, ANG MO KIO, SINGAPORE","Ang Mo Kio Avenue 4, Kebun Baru, Ang Mo Kio, Singapore, Central, 560230, Singapore",103.8373216,1.3693907
"631 ANG MO KIO AVE 4, ANG MO KIO, SINGAPORE","Ang Mo Kio Avenue 4, Kebun Baru, Ang Mo Kio, Singapore, Central, 560230, Singapore",103.8373216,1.3693907
"174 ANG MO KIO AVE 4, ANG MO KIO, SINGAPORE","Ang Mo Kio Avenue 4, Kebun Baru, Ang Mo Kio, Singapore, Central, 560230, Singapore",103.8373216,1.3693907
"156 ANG MO KIO AVE 4, ANG MO KIO, SINGAPORE","156, Ang Mo Kio Avenue 4, Kebun Baru, Ang Mo Kio, Singapore, Central, 560616, Singapore",103.83995684140612,1.3755022499999998
"605 ANG MO KIO AVE 5, ANG MO KIO, SINGAPORE","605, Ang Mo Kio Ave 5, Ang Mo Kio Avenue 5, Lentor, Ang Mo Kio, Singapore, Central, 560603, Singapore",103.8364942,1.3796794
"181 ANG MO KIO AVE 5, ANG MO KIO, SINGAPORE","Ang Mo Kio Avenue 5, Lentor, Ang Mo Kio, Singapore, Central, 560603, Singapore",103.8361049,1.3785238
"604 ANG MO KIO AVE 5, ANG MO KIO, SINGAPORE","604, Ang Mo Kio Avenue 5, Lentor, Ang Mo Kio, Singapore, Central, 560603, Singapore",103.83597481288359,1.3798723499999999
"611 ANG MO KIO AVE 5, ANG MO KIO, SINGAPORE","611, Ang Mo Kio Avenue 5, Kebun Baru, Ang Mo Kio, Singapore, Central, 560180, Singapore",103.83725604606919,1.3783059999999998
"151 ANG MO KIO AVE 5, ANG MO KIO, SINGAPORE","151, Ang Mo Kio Avenue 5, Kebun Baru, Ang Mo Kio, Singapore, Central, 560616, Singapore",103.84112121995105,1.3767260000000001
"505 ANG MO KIO AVE 8, ANG MO KIO, SINGAPORE","505, Ang Mo Kio Avenue 8, Cheng San Crest, Ang Mo Kio, Singapore, Central, 560505, Singapore",103.85021716364169,1.3748559
"509 ANG MO KIO AVE 8, ANG MO KIO, SINGAPORE","509, Ang Mo Kio Avenue 8, Cheng San Crest, Ang Mo Kio, Singapore, Central, 560509, Singapore",103.85014085275887,1.3739995999999999
"438 ANG MO KIO AVE 10, ANG MO KIO, SINGAPORE","438, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560438, Singapore",103.853947809066,1.36696375
"419 ANG MO KIO AVE 10, ANG MO KIO, SINGAPORE","419, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560419, Singapore",103.85414666381953,1.3653542500000002
